sentiment,selected_text
0,Sooo SAD
0,bullying me
0,leave me alone
0,"Sons of ****,"
1,fun
1,Wow... u just became cooler.
1,like
0,DANGERously
0,lost
0,"Uh oh, I am sunburned"
0,*sigh*
0,sick
0,onna
1,interesting.
1,"the free fillin` app on my ipod is fun, im addicted"
0,I`m sorry.
0,.no internet
1,fun
0,Power back up not working too
1,Quite....heavenly
1,hope
0,well so much for being unhappy for about 10 minute
1,funny.
0,miss
0,soooooo sleeeeepy!!!
1,A little happy fo
1,avid fan of
1,I love to!
0,SUCKKKKKK
0,dont like go
0,d I`m not thrilled at all with mine.
0,it is ****...u have dissappointed me that past few days
1,romance zero is funny
0,hurts
0,"i lost all my friends, i`m alone and sleepy.."
0,I give in to easily
1,favorite
0,jealous..
1,s awesome
1,Chilliin
1,better
0,BADDD.
0,I am sooo tired
1,THANK YYYYYYYYYOOOOOOOOOOUUUUU!
1,lucky
0,Sick.
0,", sorry guys"
1,Happy Star Wars day everyone! and Enjoy the holiday (UK)
0,i miss you bby
1,cool
1,Love it there
0,tired
1,Happy Mothers day to all you Mums out there
0,freaked
0,unfortunately
1,best
1,Pretty
0,"horrible,"
0,busy
1,Awesome.
1,thanks
1,safe
1,I wish I was allowed to go
1,"Thank you,"
1,I love my
0,I don`t feel confident
0,sad.
1,hahaa your awesomee !
1,awesomeeeee
0,Not looking forward
0,Poor you
0,not well
1,Not a prob
1,y adore
1,good
1,I love him too
0,painful.
0,sad?
1,e nice
1,i wish
0,"missed all the awesome weather,"
0,terrible!
0,"Unfortunatley,"
0,"That sucks, tho."
0,Hate fighting
0,Car-warmed Sprite tastes like sore throat
1,enjoyable.
1,endearing-
1,goooooddd morning tweets!!
0,hate
1,fine!
0,i don`t like the other ones.
0,Bugger. forgot I still have washing in my machine
1,"sending love, blessings & healing thoughts to you & family  peace"
0,.really bad
0,brutal
0,boring
1,great
1,excited
1,good morning
1,its the best show EVER!
0,messed
0,NOT THE SECRET NAMEREBECCA PLEASE
0,miss
0,illness
1,i totally loved it!
1,i <3 you. u helped me thru the hrdest time of my life!
0,sad
0,sick!
0,oww
1,happy 1 year! <3
1,Goooooooooooood Morrrrrrrrning
0,WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!
0,This diet is killing me
0,bored..
1,e fun
0,lost my voice
0,hate
0,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy
0,headache
1,happy
1,going to have fun
1,d thank you!
1,HAHAHA
1,crush
1,Feeling smooth
0,Ew traffic
0,I hate not having a bike..
0,This is worse than taxes.
1,JONAS BROTHERS - Live to party.                It`s rocking so hard
1,happy
1,would love to test it though.
1,Fun night!
1,I thought Wolverine was awesome.
1,Hopefully
1,Happy
1,luv
1,that`s why I need to be there
1,",ahaha"
0,I`m not sleeping at all un
0,"Seriously,"
0,not going to well!
0,g harmed
1,what an amazing day.
1,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning"
1,were amazing tonight..
1,hope
1,it hurts too much...
1,GREAT
1,Happy b-day!
1,thank
1,HAPPY
1,glad
1,Thanks
1,Its too nice
0,depressed
0,sick.
1,Happy Mothers Day people. i love my mom a lot still
0,sorry
1,", he was soooo friendly."
1,happy
0,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...
0,miss
0,chocked
1,.it`s gorgeous out!
0,m worried
0,Im not bannished.
1,tonight in party w/ my girls (minus vita)
1,amazing
1,glad
0,I have missed them
1,as wort
1,better
0,Ship. I`m stuck.
1,Cannot wait
0,shame
0,Definitely pinched a nerve.
0,exhausting!
0,Sorry
0,im sad it very hurts
1,"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love"
0,I`m broke
1,it was amazin
0,now a migraine.
0,?sucks!?..
1,"doing pretty well,"
0,I Miss Daddy and Mommy
0,officially depressed
1,exciting!
0,That sucks!
0,bored
0,I am lost.
0,bad
1,oh nice going!
1,partying
1,i agree with you!
0,Am hopeless at everything else
1,perfect ma
1,thanks!
0,Sorry
0,stuck
0,dang
0,i missed all ur tweets
0,Damnit all. That sucks.
0,this is sooo crazy
0,some stupid ****
1,Please Re
1,aww  you loooove me
1,awesome lucky you
1,love
0,No fun
0,I feel your pain.
0,Sadly
1,Cant wait
0,aww I miss driving
1,Omg Wango Tango was **** AWSOME! I love my baby for taking me
1,its very cool
1,wish
0,that`s not good
1,This has made my night!!  Way too funny!
1,Happy
1,Thanks
0,sorry  friends
0,"My sunburn is peeling,"
0,I don`t have no one to cuddle with..
0,hate
0,.sorry
0,dying
0,stupid job
1,Have a good on
1,"she is popular,"
0,Dosen`t Want To
1,His voice is great.
1,lucky
1,I sure do hope
1,Congrats!
0,passed away
1,you are such amazing people!
1,cool
1,"Yes, I love tea."
1,a mouth for sure
1,thanks!
0,s I just don`t entertain him :/
0,kill me
0,both electronic keys stopped working. there is no keyhole!
1,Good
0,poor tony
1,Goodmorning
0,I don`t really feel like
1,"I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too"
1,best
0,No waterfront anymore
1,loves her mum very much! Happy Mothers Day to all the wonderful mothers out there
0,feeling like poop!
1,excited
0,then you cry ...
1,Morning tweeple
1,#NAME?
0,I don`t want to sit at home
1,wishing
0,dammit
1,lol.
0,Still jealous
0,Me at Forever 21  Ethan couldn`t be there
0,SAD
0,not easy!
1,Wow what a beautiful pictur
1,Looks good
1,a nice
1,having lots of fun
0,Bouncing Rush makes me feel nauseous
1,Lovely day for it
0,playing singstar without my fave duetter
1,i like
1,im a good daughter
0,That`s NOT cool
1,alwas helps.
0,"lacking,"
1,cool
1,Good
0,swollen.
0,Don`t act like u don`t know.
1,best
0,! I`m scared of him
0,missing
0,mean!
0,"not doing so good,"
0,Missing
0,stuck
0,sad.
0,Sorr
0,live in poverty.
0,not going well
1,congratulations
0,I miss it there
0,wack.
1,hopefully i can make some good tips
0,d there wasn`t a chance
0,Hates
1,Thanks for the support
1,lovely
1,Nyappy mother`s day to your mom`s.
0,traumatizing
0,fail)
1,glad
0,im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!
0,. Tomorrow will be tough!
0,miss
1,i`m glad
1,Thanks
1,i hope
1,"well,"
1,Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!
0,i am living in ignorance
0,AWWWW  we`re gonna miss you!
1,its a relaxing place
1,lovely
0,. Sorry
0,dammit
1,it was amazing
0,sick and sad ..
0,Really wishes he had some spare cash to buy the new Punch Out for Wii
0,not going
0,So sorry
1,I feel for you  I hope it`s a smooth flight. Be safe
0,Can`t sleep..
0,sad.
1,sweet dreams
0,PAIN.
1,haha thanks  its for history and its on how the invention of television has influence america lol
0,Stupid
0,Shopped til i dropped....come bac sunshine i miss u
1,Like
1,loved!
0,hard
0,terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!
1,Sun is shinning.........at last
0,"slowest train ever,"
0,I don`t think I`ve ever been so tierd in my life.U
0,why doesnt he want me anymore
0,bad hair day
0,headache
0,sorry
1,thanks for another great day!
0,huh?
1,awesome
1,happy
0,Stupid
0,I didn`t want to tell you but I think it`s your body odour
0,bad
0,missed
0,Unfortunately
1,fun
1,Discrimination is not a bad thing.
0,"tease,"
1,Just got back from working out. I`m feeling pretty good.
1,"So!!! Why should that matter? I bet you would be GREAT at it! I do!!! It`s what you love, right? Why not go for it!"
1,Thank the heavens.
0,bad
0,no answer back.
1,me smile.
0,I`m kinda o sick n tired
0,boo.
0,missed out
1,.great.
1,"finally gone to the beach, yeaaaah!"
1,awesome
1,Gorgeous GIRL!
1,hysterical
1,loved
0,ugh! These **** tonsils.
1,"bless,"
1,good fun
0,lost
0,though that isn`t going so well.
1,good
0,im back to this z-index problem...again
0,so bored at work...
0,hating
0,sucks!!
1,Happy Mother`s Day
0,sorry
1,love good causes
0,Not available in my area
0,cramps
1,thank you
0,FML
1,"funny,"
0,grouchy
0,worse.
1,would help me study for the aptitude tests
1,cute.
1,Loved
0,my inbox is still empty
0,I`m such a rebel!
0,.i`m sorry
1,nice
1,love!!
1,good.
0,lost
0,That was stone cold   Crazy.
1,they were so pretty
0,.no one will help me
1,thanks
1,Thanks
0,oh sorry! not getting all my replies  nothing against you.
1,"Pray for my Uncle,"
0,omg i wanted to slap her.
1,very special`s
1,great
0,mad
1,Thanks
1,Such a pretty baby!
1,cute..
1,k  thank
0,fail at life sometimes.
1,WISH
1,. He gives Twitter tips. Hope this helps
1,I loved him
1,... LOL Than
1,gorgeous!
1,I guess the relaxing dinner and a movie is out for tonight...I was looking forward to that after my day at work
1,rofl uh huh
1,funny!
0,"doesn`t that look fab,"
0,terrible
0,irrelevant.
0,I`m too sick to go outside
1,good
1,excited
1,"love,"
0,bad
0,screwed
0,just got laid off. Lots of people becoming unemployed
1,e bestttt
0,i never knew a dentention was so hard
1,fun
0,my nail broke  I haaaaaaaaate
0,IS disappointing
1,Love
0,. I hope Avalina isn`t a dud!
0,hates
1,Lovely
0,Flap-a-taco was nice until the plebs came in.
1,celebrate
1,"am chillaxin after a busy BankHoliday, Hope everbody had a gd wkend! Holiday in 12 days!!"
1,better
1,wow-you ride HARD!
1,Thanks! Welcome back!
0,t sucks
0,sore head
1,e`s amazi
1,LMAO...Ha!
0,stupid
0,"I don`t think I am, my sisters refusn to get me a ticket now."
1,love
1,one of the greatest dinners ever:
0,nooooo its raining..
1,Shower. Class. More class. Taking care of my lady-friend.
1,great
1,great
1,i LOVED
1,The World is just amazing!
0,i am completely lost.
1,cute!
0,silly
1,just had a great talk with grace about how awesome God is and how he works...that somehow started with how remote controls work
0,beasted
0,UNSALVAGEABLE
0,ended up inventing my own.
0,seems to have disappeared out of my life
1,"HAPPY MOTHER`S DAY to my Mom, and every Mom everywhere.  Off for a stroll at the Beaches later--hopefully..."
1,haha!
1,best
0,"****,"
0,aww
0,nothing fair
1,"You better come here by the time I count to 10 or else. 1, 2, 3,  BAM!!!!!"
1,"well,"
0,i`m going to fail this final.
1,", Thx"
0,how sad! are you saying that I`m fat?  *tears*
0,can`t find it anywhere!
0,i have a major headache
1,ch fu
0,"Stupid me,"
1,very relaxing
1,yessir that is 100% right
1,GREAT
0,sad.
1,thanx
1,very cute
1,COOOOOOOOOL... DOOOOOOOOOWN... Patience... Is... Virtue...
0,expensive.
0,So tired &
1,Happy
1,GOODNIGHT
0,Mad tired. But it`s the hols! I miss chomp chomp terribly!
1,Good
1,good
1,glad
0,Missing
0,It just had to rain on me
1,I miss u guys too  I prob won`t b bk til august sumtime
0,i`m a victim
0,i would slip and fall..
1,looking forward to it
0,a stop
1,can`t wait to november for Jobros concert !
0,but I feel sorry for Marcus though.
0,can`t believe
0,sorry ba
1,i jus love doin night shifts...
0,reupload the **** thing again
1,your updates are really amusing.
1,Loves the fact
1,s not bad
1,awesome.
0,rough
1,"Aww, congrats to the family."
1,YAY!
1,Goodnight!
0,Im too late... Hes gone
0,lost my internet signal
1,"Good for you mate, sadly I couldnt get pissed tonight **** driving bad times"
0,blood everywhere!!!
1,very very cute
1,Great
0,hurt my arm.
0,****
0,tiiiiiiired! Going to bed!
1,I hope
0,keeps getting such delayed responses. why is my internet so messed up?!
0,sad.
1,Good
1,Thanks man.  That sorted it
1,enjoying
1,favourite
1,congratulatory
0,"Sadly, that`s not too often"
1,good times.
0,The sun is not cool
0,...  that was meeeaaannn.
1,Invisible car helps to boost recycling. Honest
1,pretty.
1,d really love that!
0,so sadly
1,nice
1,Happy
1,Enjoying
1,happy
0,my bad
0,forgot
1,thanxx
0,poorly
1,Happy St
0,I won`t have a chance later.
1,hope
1,s  you`re the best
0,SHUT YOUR FACE!
1,cant wait
1,laavly
0,I`m really getting sick ugh
0,stalkerishly
0,s disappointing
1,hopefully
1,Happy
1,thanks
1,"s fun,"
1,h) wish I could go too
1,excited
0,****
0,mad the rain got me..
0,i dont feel very good
1,congradts on ur show  Even tho i wasnt there lol
1,damjust finished watching Prison Break: the final break...omg i dont think i`ve cried so hard for a show..Finally understand the finale
0,excuse
1,good
1,awesome
0,I`m afraid.
0,I`m not having the best day
1,Welcome
1,Thanks
1,"Thanks,"
1,feeling all homely! off out with Freddie for a fun-packed day
1,I sorry
0,just couldn`t remember!!
1,I wish I had the battery life of an iPhone!
1,happy
1,Omg.
1,better
0,Work in that heat is horrible !
1,d turned me human
1,m glad
1,Thanks Savvv
1,my sleep pattern is screwed
0,isn`t easy to find
1,may the fourth be with you! happy star wars day
0,".just not lucky, never have been."
0,Taking care of yucky stuff.
0,lame
1,good
0,cry
1,HAPPY
1,i hope
0,"I`m tired,"
1,That`s me on a good day
0,not good.
1,: I ADMIRE YOU! you`re amazing! you inspire me to write  <3
1,I LOVE being off work
1,"hahaha, I was busy, now I see what I replied to you!"
1,thank you
0,very bad.
1,Thank you
1,pretty much figured out.
0,I scared
1,Happy mother`s day to you Lexus.  I hopw it`s a nice one for you.
1,love
1,fave
1,Thanks
0,bad
0,"Its prob cuz I don`t really like sleeping in late, even if I tried."
1,Congrats
0,t I`m still stick.
1,ut yes now would be good
0,lost
0,****
0,My throat is killing me
1,awww  I`ll let you off - but you`d better be there for my next 30th! XD
0,bloody
0,o itchy
1,good
1,(much) better cook
1,", enjoy"
1,great
1,Yaay like it !  ?    Love
0,waste
0,'accidentally'
1,Thanks you so much
0,sad me
1,Happy Mother`s Day
0,"SUCKS,"
1,Please feel free to watch and enjoy
1,nice.
1,who I think is very smart
1,o   It looks amazi
1,yeah twitter is a lot of fun babe... especially when you`ve got ppl to talk to! lol & that sounds Goooooood lol
1,loveeee
1,so grateful!!
0,has heart burn
1,thanks to you th
1,Happy
1,luv
0,afraid
0,hard
1,positivity is doin me good! Change it up! Won`t regret it... Forsure..
1,Love
1,laughing
0,.I`ve become poor again
1,worth
0,No internet there.
1,awesome
0,loosing
1,nice we
0,tired?
1,please
0,painful
1,Aw. Toy Story 3 is coming out NEXT year.
1,Happy
1,monumental
1,Good days with good friends ma
0,miss yall
1,OMG I would sooooo make dis show number one
0,i`m all alone
1,n interesting
1,aaawww  no worries
1,fun.
1,nice to have you back
1,Enjoy the coffee.
0,sad!
0,And i freakin miss anthony  ugh today kinda sucks.
1,my little felted thing looks like an incestuous by- product of two of your lovelies
0,s super sad
0,breaks my heart.
1,thanks
0,terrible
1,Happy Mothers Day!
1,Happy
1,happy
0,problem
1,Happy
1,thanks
0,E EXPENSIVE
1,msn-ing. no school  shouldn`t there be more bank holidays? x
0,so sorry
1,AWESOME
1,#NAME?
0,is sad th
0,Poor
0,o can`t work that one out  pain in the **** them spammers
1,i love my brother he`s my best friend
0,**** it. Totally gutted
0,I don`t think I like
0,tan
1,"As opposed to twitter, where all we can do is talk to people.  SL is fun. I already have way too many ways to distract myself."
0,The chances of us falling in love are getting fewer and fewer.
1,Thanks!
0,fusterated
1,gob smacked by how good our presentation was
1,awesome
0,afraid
1,"When balancing a chair on my chin in the sixth form common room got nothing but sneers, I hung those balls up for good"
0,bad
0,jealous
1,niceee
0,I`m SO jealous
0,I`m ill
1,I might really have to join
1,joke
1,wont mind sharing
0,..poor thing.
0,e such a nasty display picture
1,nice
1,thanks  scared of dentists.. looks like I am going to have to get over it and go
0,having fever
0,"Sick. Feel like jello, can`t talk, and delirious."
0,It`s teddy-chucking time
1,great!
1,Thanks for your reply
0,I miss my lappy.
0,"sux,"
1,definitely!
1,good
0,sick
0,my arms hurt!
1,..definitely the best of EBM
0,SO HUNGRY!
0,oh no!!!
0,Miss Cauzinhoooo already
1,Feel free
0,sorry
1,I LLLOOOVVVEEE ICARLY
1,Thanks for all the comments
0,missed
1,Glad to see the sun out in Dublin after a great week
0,You are so weird.
1,had an awsome salad!
1,SO cute
0,hurts
0,lost
1,hahah
1,"Dan`s so funny,"
1,hope your day gets better soon!!
1,Thanks
0,urgh
0,my car wont start.......
0,canceled.
1,adorable
1,I can be on your favorite producers list  lol
1,I`d love to!!
0,The people get so much meaner to you.
0,problem
1,what a beautiful morning!
0,FAILlllllllll
1,Contentment
0,hurt to
0,! sadly
0,noone wants to talk to me  lol
0,so very irratated
1,"thats the most colorful thing ive seen all day,wow."
0,"Yeah, I went to bed at 4 and I had to be up at 6. :["
1,so goo
1,like
0,suck
1,e totally welcome
1,Hey im a fan from New Zealand. Loving the show even tho we are soooo behind in the episodes! haha. Keep up the good work
1,Nice!
1,good
1,yey
0,wtf
0,so emotional.
0,i`ll have to wait..
1,hell yeah!
1,s good
1,great
0,I don`t want her dressed up th
1,win
1,live long
1,#NAME?
0,I`m lost
0,"but not as much,"
1,ShoesShoesShoes.YayYayYay.lol.I
1,but all of my plans were for tonight  well . . . most of them anyway.
0,underpriveledged
1,beautiful
0,e swine flu
1,Happy Mothers day
0,can`t
1,"Heavens,"
1,amazecore!!
0,because no one ever understands me....
0,I overslept  headache
1,Thanks G!
1,happy star wars dayyyy
1,she`s such an amazing singer
1,love
0,too late.
1,hope ya sleepin well  guys
0,I wasn`t feeling it
0,hard
1,Thank you
1,sweet!
1,r the Best Job in the World. Good luck.
1,Happy Mothers Day!!!
1,"y i loved ACS but i had to see it online, is not here yet   cant wait to buy it!!! you look amazing ther"
1,glad
0,hurts
1,were soooooo cute
0,s feel guilty
1,e funny
0,i really cant take this.
1,IN COO
1,wish!
0,bad weather .. weird summer!
0,ugh I`m not doin too good
1,happy couple.
0,it wont let me vote for some reason
0,miss
1,Thanks
1,exciting
1,fan!
1,.THANK GOD
1,glad
0,kill
1,I love being able to run my tongue along my teeth
1,"haha,"
0,it breaks my heart
1,"Awe, THX so much!"
0,I can`t believe I`
1,Have a great time being whisked away
1,lol!
0,made me just shake my head
0,Boring
1,"Thanks,"
1,cheers
0,sad
0,.  this SUCKS
1,w  AWESOME week all around
0,haven`t been working for me all day....
0,Epicfail
0,i`m freezing in math class!
0,endure
1,I`m likable after all HAHAHAHAHAHAHA! Still over the moon
1,wish
1,Goodnight
0,money is all gone!
1,I thought it was pretty good!
1,TY very much for FF
1,Enjoy
0,quashed
1,Happy Mother`s Day to all the mothers out there!!
0,die
1,good luck
1,beautiful.
1,lovingly
1,good
1,l good for you.
1,Rescued two adorable pit mix pups today.
0,ohhh please
0,falling apart.
0,Slept at my parents the bed was hard as a rock now my back feels like a rock
0,don`t want to work
0,s not lettin me vote 4 them
0,ugh!
1,Happy
1,nice
1,thanks
0,miss
0,I hate that I can be a messy eater.
0,hurts
1,advice
1,Great..
1,good
1,i hope
0,wrong
0,. it should be recoverable.
1,thank you
0,this dude looks well `ard! He puts me to shame...
0,omg i miss you so muuch
0,has stuff to do but refuses to do them.  :[
0,one beat up little girl. Not a good day on
1,BEYOND cheap
0,I do not mean to laugh but a little giggle did come out - sorry
1,if someone had`ve told me things would get this hard..i would never have done it
1,Had a blood test today.   Wasn`t too bad really. Needed to dash 2 Starbucks after to revive my spirits with a nice Iced latte & a bun.Yum!
0,No one wants to sit with me
1,"love,"
0,5 seasons that`s it? Sorry just noticed in ur previous update. My sis isn`t gonna be happy
1,Happy
0,I miss rollerblading down Shoreline.
0,crampin`
0,spamming
1,happy
1,The sight of it made my afternoon
0,sad
1,Bonjour Twitterland !
1,Gorgeous day!
1,s  hope tonight is fun
0,Don`t worry.
0,I really am insane.
0,.it`s expensive!
0,i cant figure it out.
1,sweeet
0,Really missing hockey already.
1,Just try to do your best. I hope you don`t get laid off.
1,WELCOME
1,I especially love b-ball.
1,Its the perfect overcast day.
1,great we
1,I love
0,Never ever
0,dismal
0,canceled
0,miss
1,pretty nice.
0,Dryer labeled electric but is gas   GRRR.  Now we have 2 load it up tomorrow 2 return
1,perfect
1,t   hope it rock
0,"I`m so sad, really really sad"
1,WHOO HOO. Congrats on getting under 200lbs
0,inflammed
0,I miss him.
1,Think of it as enthusiastic.
0,bad
0,", so sad"
0,pissed
1,Everything Will Be Great
1,Great tool
0,"oy, im such a nerd..im writin 2 no1 cuz no1 is followin me  i mean lik sum1 was but their account was deleted due to 'strange activities'"
0,dragged
0,?  not good enough
1,"You cant argue w/them, as they actually have zero things to complain"
0,Stupid
0,They`re mental.
0,rotten
1,TY sweetheart
1,"wow, that`s good"
1,gorgeous
1,Happy Mo
0,headed to the hospital. i can`t take the pain anymore
0,jealous.
1,wisely.
1,it`s cool
1,t?  lovelovelove
1,Enjoy! Family trumps everything
0,Bored out of my mind!  LOL
1,Good
1,awesome!
0,difficult
0,Ugh
1,May the 4th be with you
1,cant wait to see
1,good.
1,thanks for the props
0,", awfully"
1,you`re not annoying.
1,looks nice `though
0,i cant sleep
0,"I`m very upset right now,"
1,woowoo!
0,so sad
0,fail
1,thinking
0,anxiety
1,HAPPY
0,miss
0,copy & paste **** **** tosser piss flap a 10000000000 times !!!
0,hurts
0,not treating me well so far.
1,Well it`s nice to `see` you. Have a great day and tweet again soon
0,tired
1,hope yer ok hunny
1,great
0,missed
0,One problem: it wasn`t me.
0,i don`t think i`d like it
1,it`s the best thing
0,ruined
1,thank you.
0,sorry
1,I don`t want to hurt you
1,ABSOLUTELY AMAZING! and i had a good day at work!  YAY i loved the movie! :0
1,"You make me happy, wh"
0,sucks!
1,productive
1,amazing.
1,perfect timing.
0,I hope u r not disappointed yet
0,m still melting and im in the house in the shade  its not fair.
1,"Thanks,"
0,t kills
0,worst
0,..bein sober jst wnt b as fun!
1,I love you
0,lazy
1,have a safe journey
0,s unfortunately
1,great
0,"ouuuuuuuuuchhhhhhhh, still hurting from the Barca spanking"
0,but I don`t think I can get there
1,awwww..... thought it`d be a 'yummy' experience.  Will try it next time
0,. Apologies to all my supporters.
1,s growing
0,ugh
0,oops
1,s amazing
0,Dang
1,lol
0,", sorry"
1,sounds fun
0,TOO MANY ASSIGNMENTS!
1,Gooood
1,Good morning
1,"cool,"
1,.love 6th graders
1,good night everyone!
1,a.wish
1,would be muchly appreciated
1,Happy
1,yum
0,lost a follower
